PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1	0.116341	0.158574	-7.549609	0.000000	0.000000	-6.551080
2	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
3	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
4	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
5	-0.045959	-0.320303	-4.605170	0.000000	0.000000	-5.298317
6	-0.045959	-0.320303	-4.605170	0.000000	0.000000	-5.298317
7	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
8	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
9	-0.217936	-2.032266	-7.003065	0.000000	0.000000	-5.991465
10	-0.392996	-3.026011	-6.396930	0.000000	0.000000	-6.396930
11	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
12	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
13	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
14	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
15	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
16	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
17	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
18	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
19	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
20	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
21	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
22	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
23	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
24	-0.101993	-0.477080	-7.438384	0.000000	-5.703782	-23.795958
25	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
26	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
27	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
28	0.000000	1.505022	-6.684612	0.000000	-5.298317	-19.806974
29	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
30	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
31	-0.892085	-4.684960	-6.907755	0.000000	-4.605170	-19.806975
32	-0.892085	-4.684960	-6.907755	0.000000	-4.605170	-19.806975
33	-0.892085	-4.684960	-6.907755	0.000000	-4.605170	-19.806975
34	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
35	-0.892085	-4.684960	-6.907755	0.000000	-4.605170	-19.806975
36	0.006592	0.736254	11.868025	0.000000	-4.605170	-19.519292
37	0.006592	0.736254	11.868025	0.000000	-4.605170	-19.519292
38	0.000000	-5.703782	-4.605170	0.000000	-4.605170	-9.210340
39	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
40	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
41	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
42	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
43	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
44	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
45	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
46	0.075028	-2.881069	-5.298317	0.000000	0.000000	-4.605170
47	-4.605170	-19.113827	0.000000	0.000000	0.000000	-4.605170
48	-0.258712	-2.296179	-8.433812	0.000000	-5.703782	-24.776788
